"","p_ext","GCC","err"
"1",0.1,15.65,5.08207634732104
"2",0.147368421052632,49.1,20.897128989409
"3",0.194736842105263,212.9,87.7159620593652
"4",0.242105263157895,548.85,42.5044409444472
"5",0.289473684210526,605.7,33.5605423078939
"6",0.336842105263158,732.7,24.1890471081435
"7",0.384210526315789,762.05,15.3898505515859
"8",0.431578947368421,901.5,11.8511602807469
"9",0.478947368421053,897.95,10.5331619184314
"10",0.526315789473684,926.95,7.9213319587011
"11",0.573684210526316,949.1,6.23618473105933
"12",0.621052631578947,963.9,5.16623654124165
"13",0.668421052631579,974.25,4.95857842531741
"14",0.715789473684211,982.3,3.63455636908814
"15",0.763157894736842,985.75,2.42641711170059
"16",0.810526315789474,988.9,3.22335229225941
"17",0.857894736842105,991.6,2.55734237049341
"18",0.905263157894737,993.4,1.20000000002522
"19",0.952631578947368,995.2,1.16619037896307
"20",1,996.6,0.583095189456579
