"","p","diam","err"
"1",0.05,7.9,0.888819441731558
"2",0.1,16.35,1.82414363469545
"3",0.121052631578947,25.05,5.32423703454307
"4",0.142105263157895,39.4,6.8
"5",0.163157894736842,89.9,28.2026594490661
"6",0.184210526315789,149.25,18.2479450897902
"7",0.205263157894737,99,6.37181292882963
"8",0.226315789473684,75.65,4.44156503948766
"9",0.247368421052632,59.95,3.4274626183227
"10",0.268421052631579,52.5,3.1701734968295
"11",0.289473684210526,45.05,2.20170388563042
"12",0.310526315789474,41.3,3.11608729017662
"13",0.331578947368421,37.15,2.00686322403898
"14",0.352631578947368,33.95,1.56444878471613
"15",0.373684210526316,32.15,2.74362898366382
"16",0.394736842105263,29.35,1.58981130955844
"17",0.41578947368421,27.4,1.35646599662511
"18",0.436842105263158,25.85,1.15217186218024
"19",0.457894736842105,24.5,0.921954445729301
"20",0.478947368421053,23.35,1.06183802907974
"21",0.5,22.65,1.15217186218033
"22",0.8,14.2,0.600000000000011
