"","p","GCC","err"
"1",0.05,194,55.5229682203681
"2",0.1,474.35,24.4974998724354
"3",0.121052631578947,549,22.0567450001128
"4",0.142105263157895,627.45,15.393099103168
"5",0.163157894736842,690.3,13.9359247988815
"6",0.184210526315789,741,17.105554653386
"7",0.205263157894737,786.75,10.4636274780808
"8",0.226315789473684,818,13.4424700111235
"9",0.247368421052632,856.6,10.4852277037718
"10",0.268421052631579,877.9,10.3290851482627
"11",0.289473684210526,901.9,10.4828431257944
"12",0.310526315789474,922.6,8.58719977641086
"13",0.331578947368421,936.3,6.4660652641352
"14",0.352631578947368,948.45,7.22824321671175
"15",0.373684210526316,954.85,5.38771751300747
"16",0.394736842105263,966.6,4.12795348810047
"17",0.41578947368421,973.7,5.61337688026494
"18",0.436842105263158,978.95,4.31827511860497
"19",0.457894736842105,981.7,4.47325384925704
"20",0.478947368421053,986,3.687817782914
"21",0.5,989.95,3.62594815185804
"22",0.8,999.95,0.217944947144985
