"","p","diam","err"
"1",0.05,5.7,0.714142842854284
"2",0.1,7.75,0.887411967464943
"3",0.121052631578947,8.6,0.8
"4",0.142105263157895,8.75,0.766485485837798
"5",0.163157894736842,9,0.77459666924148
"6",0.184210526315789,9.4,0.663324958071068
"7",0.205263157894737,9.8,0.599999999999988
"8",0.226315789473684,10.05,0.864580823289522
"9",0.247368421052632,10.55,0.497493718553298
"10",0.268421052631579,10.65,0.792148975887733
"11",0.289473684210526,11.4,0.799999999999991
"12",0.310526315789474,11.5,0.670820393249928
"13",0.331578947368421,11.55,0.739932429347427
"14",0.352631578947368,11.7,0.842614977317641
"15",0.373684210526316,12.2,1.07703296142691
"16",0.394736842105263,12.15,0.792148975887742
"17",0.41578947368421,12.6,0.91651513899117
"18",0.436842105263158,13,0.77459666924148
"19",0.457894736842105,13.25,0.887411967464939
"20",0.478947368421053,13.45,1.1608186766244
"21",0.5,13.6,0.6633249580711
"22",0.8,16.3,0.842614977317624
