"","p","GCC","err"
"1",0.05,2139.6,54.0762424730228
"2",0.1,4623.4,62.1018518242759
"3",0.121052631578947,5494,64.2985225335757
"4",0.142105263157895,6221.85,43.3754250699015
"5",0.163157894736842,6853.9,42.9812749928157
"6",0.184210526315789,7368.5,33.2903890034346
"7",0.205263157894737,7835.45,44.4988482997133
"8",0.226315789473684,8211.65,54.3021868805167
"9",0.247368421052632,8519.4,46.7690068314859
"10",0.268421052631579,8783.05,31.6519746621174
"11",0.289473684210526,8993.45,28.9006487814285
"12",0.310526315789474,9192.65,19.308741543679
"13",0.331578947368421,9339.25,33.9276804395166
"14",0.352631578947368,9464.5,27.0434835033144
"15",0.373684210526316,9567.5,21.8231528427952
"16",0.394736842105263,9655.85,16.7787812426492
"17",0.41578947368421,9722.7,13.1457217364655
"18",0.436842105263158,9779.05,12.216689404961
"19",0.457894736842105,9829.45,12.761171576169
"20",0.478947368421053,9865.35,11.7016024541357
"21",0.5,9900.2,10.6141415093979
"22",0.8,9999.8,0.400000014156103
