"","p","diam","err"
"1",0.05,4.75,1.08972473588517
"2",0.1,8.2,1.43527000944073
"3",0.121052631578947,11.5,4.4328320518603
"4",0.142105263157895,19.7,6.44282546713785
"5",0.163157894736842,23.6,7.32393336944022
"6",0.184210526315789,37.7,10.3009708280336
"7",0.205263157894737,43.45,6.53815723273767
"8",0.226315789473684,38.8,5.25927751692189
"9",0.247368421052632,33.2,3.39999999999996
"10",0.268421052631579,29.7,3.24191301548948
"11",0.289473684210526,26.6,2.4166091947189
"12",0.310526315789474,24.4,2.39582971014221
"13",0.331578947368421,21.9,2.14242852856286
"14",0.352631578947368,20.85,1.95639975465137
"15",0.373684210526316,19.75,1.44481832767998
"16",0.394736842105263,17.75,1.3369741957121
"17",0.41578947368421,17.65,1.31434394280952
"18",0.436842105263158,16.55,1.5644487847162
"19",0.457894736842105,15.45,1.11691539518443
"20",0.478947368421053,15,1.09544511501033
"21",0.5,14.4,1.24096736459908
"22",0.8,9.45,0.589491306127601
