"","p_ext","GCC","err"
"1",0.1,435,22.7903488345395
"2",0.147368421052632,613.7,19.4579032786148
"3",0.194736842105263,732.8,13.2385799842736
"4",0.242105263157895,820.15,11.8248678639558
"5",0.289473684210526,875.75,10.4349173451424
"6",0.336842105263158,914.65,9.38762483272849
"7",0.384210526315789,944.75,7.73223770974333
"8",0.431578947368421,967.25,5.65574928723388
"9",0.478947368421053,980.4,3.27719392165113
"10",0.526315789473684,986.45,3.69425229240813
"11",0.573684210526316,992.1,2.68141753554796
"12",0.621052631578947,996.85,1.23592070937054
"13",0.668421052631579,998.15,1.42390308657837
"14",0.715789473684211,998.8,0.871779788713476
"15",0.763157894736842,999.45,0.86458082325452
"16",0.810526315789474,999.8,0.509901951482565
"17",0.857894736842105,1000,0
"18",0.905263157894737,999.95,0.217944947144985
"19",0.952631578947368,1000,0
"20",1,1000,0
