"","p","diam","err"
"1",0.05,4.5,0.591607978309963
"2",0.1,6.15,0.726291952316695
"3",0.121052631578947,6.5,0.5
"4",0.142105263157895,7.3,1.05356537528527
"5",0.163157894736842,7.5,0.806225774829854
"6",0.184210526315789,7.9,0.888819441731558
"7",0.205263157894737,7.95,0.920597631976097
"8",0.226315789473684,8.55,0.589491306127577
"9",0.247368421052632,8.45,0.739932429347446
"10",0.268421052631579,8.65,0.72629195231669
"11",0.289473684210526,8.75,0.698212002188445
"12",0.310526315789474,9.25,0.698212002188445
"13",0.331578947368421,9.25,0.887411967464939
"14",0.352631578947368,9.25,0.622494979899439
"15",0.373684210526316,9.6,0.860232526704268
"16",0.394736842105263,9.8,0.871779788708121
"17",0.41578947368421,10,1
"18",0.436842105263158,10,0.894427190999914
"19",0.457894736842105,10.6,0.734846922834958
"20",0.478947368421053,10.55,0.973396116696585
"21",0.5,10.9,1.09087121146357
"22",0.8,13.4,1.24096736459908
