"","p","GCC","err"
"1",0.05,7.05,2.10890967089631
"2",0.1,14.75,5.16599457994296
"3",0.121052631578947,24.35,15.9162652654447
"4",0.142105263157895,52.95,37.0344096753276
"5",0.163157894736842,89.35,69.0219349192704
"6",0.184210526315789,196.7,78.2969348059042
"7",0.205263157894737,326.25,65.957467355865
"8",0.226315789473684,443.95,73.7959856631784
"9",0.247368421052632,581.3,39.945087307453
"10",0.268421052631579,637.4,27.7207503505959
"11",0.289473684210526,710.85,21.4459203579606
"12",0.310526315789474,752.65,17.24028712058
"13",0.331578947368421,783.25,15.039531242695
"14",0.352631578947368,818,15.735310610216
"15",0.373684210526316,846.8,13.2536787346061
"16",0.394736842105263,867.95,13.5036106282696
"17",0.41578947368421,886.3,9.24716172671427
"18",0.436842105263158,904.15,11.2617716190718
"19",0.457894736842105,918.85,10.6267351524347
"20",0.478947368421053,930.35,7.06593942798767
"21",0.5,938.1,7.2104091423435
"22",0.8,989.7,2.68514431641257
