"","p","GCC","err"
"1",0.05,12.9,2.80891438103763
"2",0.1,34.35,7.4918288821889
"3",0.121052631578947,64.7,12.4462845861727
"4",0.142105263157895,149.7,31.4358076085219
"5",0.163157894736842,909.2,566.587733718265
"6",0.184210526315789,9479.35,670.549422115916
"7",0.205263157894737,17491.7,498.220342820253
"8",0.226315789473684,23842.9,319.874334700229
"9",0.247368421052632,28555.3,215.323036389769
"10",0.268421052631579,32344.05,201.040661310308
"11",0.289473684210526,35356.6,203.497764115856
"12",0.310526315789474,37756.7,122.33605355795
"13",0.331578947368421,39738.7,111.253808923946
"14",0.352631578947368,41299.5,122.69413188863
"15",0.373684210526316,42595.95,85.0631970973324
"16",0.394736842105263,43704.15,90.5407504929068
"17",0.41578947368421,44605.3,62.6387260398477
"18",0.436842105263158,45377.8,66.0110596779034
"19",0.457894736842105,46045.95,79.6470181505658
"20",0.478947368421053,46594.45,57.6198533505034
"21",0.5,47065.65,53.670545923027
"22",0.8,49579.7,15.52127573121
