node_from,node_to,weight
IE.607,SE.675,1
DK.609,NO.8140,1
NO.630,SE.672,1
NO.632,SE.672,1
NO.634,SE.3118,1
GR.637,EE.1630,1
NO.639,EE.681,1
NO.639,EE.682,1
NO.639,EE.686,1
NO.639,EE.4272,1
NO.640,EE.682,1
NO.640,EE.4272,1
NO.641,EE.690,1
NO.641,EE.4272,1
GR.642,EE.685,1
GR.642,EE.1630,1
NO.643,EE.685,1
NO.643,EE.690,1
NO.644,EE.687,1
SE.645,FI.694,1
SE.645,FI.709,1
GR.647,FI.698,1
SE.648,FI.697,1
SE.648,FI.7896,1
SE.648,FI.7902,1
SE.649,FI.699,1
SE.652,FI.700,1
SE.660,FI.707,1
SE.660,FI.711,1
SE.663,FI.711,1
SE.669,FI.5209,1
SE.669,FI.5256,1
SE.670,FI.5190,1
SE.670,FI.5192,1
SE.672,FI.5199,1
SE.674,LV.724,1
SE.675,LV.2679,1
EE.679,GR.736,1
EE.679,GR.2560,1
EE.680,GR.789,1
EE.681,GR.797,1
EE.681,GR.1133,1
EE.682,GR.797,1
EE.682,GR.1462,1
EE.683,GR.1495,1
EE.684,DE.838,1
EE.684,DE.892,1
EE.685,RS.1788,1
EE.685,RS.1789,1
EE.686,IT.876,1
EE.686,IT.968,1
EE.687,IT.968,1
EE.690,DE.7978,1
FI.693,DE.8708,1
FI.693,DE.8876,1
FI.694,DE.8060,1
FI.696,DE.8078,1
FI.697,DE.2371,1
FI.697,DE.8730,1
FI.698,DE.2087,1
FI.698,DE.8537,1
FI.698,DE.8626,1
FI.698,DE.8689,1
FI.698,DE.8772,1
FI.698,DE.8957,1
FI.699,GE.1952,1
FI.699,GE.4421,1
FI.700,GE.1949,1
FI.700,GE.1950,1
FI.700,GE.4420,1
FI.702,HU.1827,1
FI.702,HU.4486,1
FI.702,HU.4500,1
FI.702,HU.4509,1
FI.702,HU.4510,1
FI.702,HU.4512,1
FI.702,HU.4533,1
FI.702,HU.4545,1
FI.702,HU.5536,1
FI.702,HU.5537,1
FI.702,HU.5538,1
FI.703,IT.6234,1
FI.707,HU.4554,1
FI.707,RO.4596,1
FI.709,PT.1387,1
FI.711,PT.1385,1
FI.711,PT.1386,1
FI.712,PL.1085,1
FI.712,PL.1087,1
LV.714,RS.1028,1
LV.714,RS.1777,1
LV.714,RS.4925,1
LV.714,RS.4929,1
LV.724,RS.1757,1
LV.724,RS.1759,1
LV.724,RS.4930,1
GR.735,ES.1044,1
GR.735,ES.1480,1
GR.736,ES.5135,1
GR.736,ES.5158,1
GR.756,ES.5135,1
GR.789,ES.5143,1
GR.789,ES.5144,1
GR.789,ES.5149,1
GR.795,ES.4457,1
GR.795,ES.4464,1
GR.795,ES.4529,1
GR.795,ES.5100,1
GR.795,ES.5123,1
GR.795,ES.5139,1
GR.795,ES.5140,1
GR.795,ES.5141,1
GR.795,ES.5142,1
GR.795,ES.5145,1
GR.797,ES.1444,1
GR.800,PL.6685,1
GR.800,PL.6706,1
DE.802,PL.7658,1
RS.807,PL.6810,1
IT.829,PL.1091,1
DE.838,PL.6761,1
DE.838,PL.6895,1
IT.876,PL.1169,1
IT.876,PL.1185,1
DE.886,PL.6939,1
DE.886,PL.7041,1
DE.892,GR.1485,1
DE.906,GR.1408,1
DE.938,GR.1805,1
DE.938,GR.1806,1
DE.951,GR.1806,1
IT.968,PL.1136,1
IT.968,PL.6879,1
IT.968,PL.6989,1
DE.969,PL.1141,1
GE.983,PL.7260,1
GE.984,PL.6715,1
GE.984,PL.6967,1
GE.984,PL.6972,1
HU.993,IT.7760,1
IT.995,ND.1165,1
IT.995,ND.1349,1
HU.997,ND.1353,1
PT.1001,ND.1331,1
PT.1002,ND.1352,1
PL.1024,ND.1348,1
PL.1024,ND.1349,1
RS.1027,ND.1345,1
RS.1028,PL.1170,1
ES.1036,PL.1171,1
ES.1040,PL.6958,1
ES.1041,SI.1196,1
ES.1043,SI.1198,1
ES.1044,SI.1198,1
ES.1045,AT.5627,1
PL.1060,AT.5699,1
PL.1061,GE.7381,1
PL.1082,GR.1321,1
PL.1082,GR.1485,1
PL.1085,GR.2032,1
PL.1087,ND.1324,1
PL.1087,ND.1333,1
PL.1091,ND.1354,1
PL.1091,ND.4308,1
PL.1100,ND.1325,1
PL.1100,ND.1333,1
PL.1112,ND.1326,1
GR.1125,ND.1327,1
GR.1126,ND.1328,1
GR.1130,ND.1332,1
GR.1133,ND.1330,1
GR.1133,ND.1332,1
PL.1135,ND.1331,1
PL.1136,ND.1334,1
PL.1139,ND.1335,1
PL.1139,ND.1347,1
PL.1141,ND.1336,1
PL.1141,ND.1347,1
PL.1153,ND.1337,1
IT.1158,ND.1338,1
ND.1161,ND.1339,1
ND.1163,ND.1340,1
ND.1164,ND.1341,1
ND.1165,ND.1342,1
ND.1166,ND.1343,1
ND.1167,ND.1344,1
PL.1169,ND.1345,1
PL.1170,ND.1348,1
PL.1171,ND.1353,1
PL.1185,ND.4308,1
SI.1190,GR.1400,1
SI.1190,GR.2029,1
SI.1192,PT.1358,1
SI.1192,ES.4279,1
SI.1192,ES.5107,1
SI.1192,ES.5121,1
SI.1192,PT.7406,1
SI.1192,PT.7407,1
SI.1196,GR.1402,1
SI.1196,GR.1403,1
SI.1198,PT.7407,1
SI.1198,PT.7408,1
AT.1297,PT.1394,1
AT.1297,PT.1397,1
AT.1297,PT.4091,1
AT.1298,GR.2025,1
GE.1306,GR.1381,1
GE.1306,GR.2026,1
GR.1320,GR.2027,1
GR.1321,PT.1388,1
GR.1321,PT.4089,1
GR.1321,PT.4090,1
GR.1321,PT.4091,1
GR.1321,PT.5662,1
GR.1321,PT.7390,1
GR.1321,PT.7405,1
ND.1322,PT.1387,1
ND.1323,GR.2027,1
ND.1323,GR.2028,1
ND.1324,PT.1391,1
ND.1324,PT.1394,1
ND.1325,PT.1392,1
ND.1326,PT.1393,1
ND.1327,PT.1397,1
ND.1328,GR.1399,1
ND.1328,GR.2028,1
ND.1329,PT.1398,1
