NodeID,NodeLabel,ICC,Lon,Lat,Country
GE.1,Chakvi,GE,41.7337699999999,41.7324854999998,Georgia
FR.2,Pornic,FR,47.1145344999999,-2.0978490000002,France
LT.3,Alytus,LT,54.3991789999998,23.9813254999998,Lithuania
SK.4,Bielovec,SK,47.9964514999998,18.7745799999998,Slovakia
SK.5,Cermel,SK,48.7497444999999,21.2285639999998,Slovakia
PT.6,Moita,PT,38.6449029999999,-8.99651700000018,Portugal
ES.7,Estacion FF.CC. de Camargo,ES,43.4206244999999,-3.84323550000019,Spain
EE.8,Raasiku,EE,59.3656744999998,25.1741759999998,Estonia
RS.9,Kula,RS,45.6044474999999,19.5152354999998,Kosovo
FR.10,La Baule-Escoublac,FR,47.2887049999999,-2.38955200000021,France
FR.11,Provins,FR,48.5557099999998,3.30271199999979,France
HU.12,Bekes,HU,46.7709729999999,21.1131979999998,Hungary
IE.13,Dromod,IE,53.8587774999998,-7.91605700000019,Ireland
IE.14,Clara,IE,53.3336859999998,-7.62051250000019,Ireland
IE.15,Millstreet,IE,52.0774554999998,-9.0711685000002,Ireland
PL.16,Kobierzyce,PL,50.9704409999999,16.9236744999998,Poland
FR.17,Paris Est,FR,48.8775519999998,2.35915599999979,France
IT.18,Chieri,IT,45.0062534999999,7.82354999999978,Italy
FR.19,Saint-Charles,FR,43.3033584999999,5.3820694999998,France
FR.20,Le Havre,FR,49.4929514999998,0.125700999999793,France
FR.21,Orleans,FR,47.9081539999999,1.90475999999981,France
FR.22,Oloron-Sainte-Marie,FR,43.1943849999998,-0.61282650000021,France
PT.23,Paco de Arcos,PT,38.6970999999999,-9.29091700000018,Portugal
FR.24,Saint-Malo,FR,48.6463299999998,-2.00376500000019,France
FR.25,Fecamp,FR,49.7596679999998,0.375343999999814,France
FR.26,Les Sables-d'Olonne,FR,46.4993244999999,-1.7811585000002,France
RS.27,Radinac,RS,44.6120969999998,20.9704314999998,Kosovo
RS.28,Pec,RS,42.6614024999998,20.3045694999998,Kosovo
FR.29,Massy-Palaiseau,FR,48.7251249999999,2.25987849999979,France
RS.30,Beograd,RS,44.8089164999998,20.4554499999998,Kosovo
FR.31,Garches-Marnes-la-Coquette,FR,48.8380674999999,2.18687749999981,France
FR.32,Lisieux,FR,49.1380964999999,0.2316399999998,France
FR.33,Blanquefort,FR,44.9177674999999,-0.623572500000194,France
FR.34,Rueil-Malmaison,FR,48.8876074999998,2.17234199999979,France
HU.35,Esztergom,HU,47.7777069999999,18.7433164999998,Hungary
PL.36,Hel,PL,54.6115649999998,18.8013794999998,Poland
FR.37,Le Guichet,FR,48.7048009999998,2.19175999999979,France
FR.38,Kerhuon,FR,48.4095829999999,-4.3882505000002,France
FR.39,Viroflay Rive Droite,FR,48.8054894999999,2.1683854999998,France
FR.40,Bougival,FR,48.8542179999998,2.13210799999979,France
FR.41,Le Vesinet Centre,FR,48.8897139999999,2.13584549999979,France
FR.42,Bussy-Saint-Georges,FR,48.8368504999999,2.71057199999979,France
FR.43,Tergnier,FR,49.6616674999999,3.2960749999998,France
FR.44,Colmar-Saint-Joseph,FR,48.0813089999998,7.34580449999979,France
FR.45,Hyeres,FR,43.1086459999999,6.1237964999998,France
IT.46,Aosta,IT,45.7341574999998,7.3222374999998,Italy
FR.47,Saint-Nazaire,FR,47.2867639999998,-2.21132550000019,France
AT.48,Zwettl,AT,48.6124809999998,15.1655359999998,Austria
FR.49,Torcy,FR,48.8395189999999,2.6541439999998,France
FR.50,Lognes,FR,48.8390469999999,2.63390099999981,France
FR.51,Gap,FR,44.5637964999999,6.0858244999998,France
FR.52,Lavaur,FR,43.7036669999999,1.81322899999981,France
FR.53,Carpentras,FR,44.0493599999998,5.0440149999998,France
FR.54,Arret de Saint-Hilaire-de-Riez,FR,46.7165529999998,-1.9496780000002,France
LU.55,Paradiso,LU,49.9653284999999,5.9529454999998,Luxembourg
FR.56,Orsay Ville,FR,48.6976404999998,2.18193249999979,France
FR.57,Noisy-le-Grand Mont d'Est,FR,48.8406114999999,2.54519099999979,France
FR.58,Paris-Saint-Lazare,FR,48.8778684999998,2.32445149999981,France
CH.59,Frauenfeld,CH,47.5588884999999,8.89731599999979,Switzerland
CH.60,Gossau SG,CH,47.4111789999998,9.2520954999998,Switzerland
CH.61,La Chaux-de-Fonds,CH,47.0977274999999,6.8245004999998,Switzerland
FR.62,Palaiseau,FR,48.7180749999999,2.24669499999979,France
FR.63,Coulommiers,FR,48.8075344999998,3.08207999999979,France
FR.64,Cergy-Saint-Christophe,FR,49.0497699999999,2.03429399999979,France
FR.65,Briancon,FR,44.8899959999999,6.63283049999978,France
FR.66,Bruges,FR,44.8876359999998,-0.609721000000207,France
LU.67,Diekirch,LU,49.8648204999998,6.15402449999979,Luxembourg
LU.68,Merkholtz,LU,49.9567984999999,5.98151149999978,Luxembourg
LU.69,Wiltz,LU,49.9666449999998,5.92844249999979,Luxembourg
LU.70,Bissen,LU,49.7883869999998,6.06932599999979,Luxembourg
LU.71,Colmar-Usines,LU,49.8080254999999,6.0928519999998,Luxembourg
LU.72,Kayl,LU,49.4857319999998,6.03527499999979,Luxembourg
LU.73,Tetange,LU,49.4775044999998,6.03490449999978,Luxembourg
LU.74,Langengrund,LU,49.4656269999998,6.01017099999979,Luxembourg
BE.75,Enghien,BE,50.6969879999998,4.04718349999979,Belgium
BE.76,Louvain-La-Neuve-Univ.,BE,50.6699379999998,4.61613699999981,Belgium
CZ.77,Broumov,CZ,50.5795424999998,16.3396629999998,Czech Republic
